,Res
2014-05-27,107.84145518447889
2014-05-28,107.87889513700439
2014-05-29,107.88497023559519
2014-05-30,107.8633536149516
2014-06-02,107.83576018942519
2014-06-03,107.82630270872188
2014-06-04,107.81147211238256
2014-06-05,107.80395138587262
2014-06-06,107.75279966067811
2014-06-09,107.76054633609098
2014-06-10,107.76241880878712
2014-06-11,107.72452222887858
2014-06-12,107.74344542197474
2014-06-13,107.77919513308579
2014-06-16,107.77301435195076
2014-06-17,107.68795406590635
2014-06-18,107.81428025990589
2014-06-19,107.77766883143856
2014-06-20,107.76185800863563
2014-06-23,107.79242820252577
2014-06-24,107.83988657084242
2014-06-25,107.86324774662573
2014-06-26,107.92077175057443
2014-06-27,107.90407226753031
2014-06-30,107.85416204621822
2014-07-01,107.88546160074132
2014-07-02,107.84087838985332
2014-07-03,107.88820218321193
2014-07-04,107.89090180765385
