,Weighted_Performance
2014-12-30,0.012216627946038222
2014-12-31,0.06496496142509525
2015-01-01,0.01666884787579811
2015-01-02,-0.16687756892463643
2015-01-05,-0.15500534516782438
2015-01-06,0.03456751948723662
2015-01-07,-0.00386891562887796
2015-01-08,-0.020917712941874646
2015-01-09,0.03637964983892549
2015-01-12,0.010410051659542672
2015-01-13,0.01728053854661256
2015-01-14,0.07207895532449551
2015-01-15,-0.07611698358312116
2015-01-16,-0.038189709643247235
2015-01-19,-0.03734443944925167
2015-01-20,-0.0038819214541670035
2015-01-21,0.0318504148168994
2015-01-22,0.06656628722974961
2015-01-23,-0.042542003092673725
2015-01-26,-0.016437520720801343
2015-01-27,0.0189972508435233
2015-01-28,0.014739643417532956
2015-01-29,-0.11366569790784996
2015-01-30,-0.12736370433814156
2015-02-02,-0.03214893573400883
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.04845915803116988
2015-02-06,-0.05043673641017238
2015-02-09,0.010890424171954103
2015-02-10,-0.036559189498299935
2015-02-11,-0.014157195048273431
2015-02-12,0.012395186857227805
2015-02-13,0.0962029973398355
2015-02-16,-0.0038832033585010314
2015-02-17,0.03842916543105271
2015-02-18,0.04171263559424954
2015-02-19,0.006982926099468795
2015-02-20,0.00672653468492527
2015-02-23,-0.06134642884563687
2015-02-24,-0.02754786965785114
2015-02-25,0.08962029917106304
2015-02-26,0.02113288577038788
2015-02-27,-0.059161262359759534
2015-03-02,-0.07312294476457616
2015-03-03,0.042349644404536486
2015-03-04,-0.009640358552801062
2015-03-05,0.04208206874849862
2015-03-06,-0.012629562070327494
2015-03-09,-0.012254864354703451
2015-03-10,-0.07558985558943447
2015-03-11,0.006387472849186329
2015-03-12,0.024202809805645705
2015-03-13,-0.027712798508054564
2015-03-16,-0.016400296248064702
2015-03-17,0.014614154970599539
2015-03-18,0.02327682515525961
2015-03-19,0.014491407644494959
2015-03-20,0.042505583139010074
2015-03-23,0.0487750204279523
2015-03-24,0.1407922759419429
2015-03-25,-0.09182741708414091
2015-03-26,-0.07275404713685882
2015-03-27,-0.13540279795536328
2015-03-30,-0.025449885896877297
2015-03-31,-0.022874776249360372
2015-04-01,0.1433608838853778
2015-04-02,0.08241113778292092
2015-04-03,0.0418665657950746
2015-04-06,0.14548747662329398
2015-04-07,-0.023971874553587215
2015-04-08,0.21584104964802298
2015-04-09,0.0342591698932935
2015-04-10,-0.16458057836790416
2015-04-13,-0.03674992662975095
2015-04-14,0.14073727975630834
2015-04-15,0.12493088366216479
2015-04-16,0.01771116131971922
2015-04-17,-0.1423956564023302
2015-04-20,-0.10327333827052197
2015-04-21,-0.03422442742153182
2015-04-22,0.14335081692740265
2015-04-23,0.10549705088737485
2015-04-24,0.05494187456497402
2015-04-27,-0.06865507408748502
2015-04-28,0.010357380994838468
2015-04-29,0.02752082187580749
2015-04-30,-0.07237865661749689
2015-05-01,-0.08365954841782472
2015-05-04,-0.0950901568005054
2015-05-05,0.05913058640898391
2015-05-06,-0.011252910709420916
2015-05-07,0.04413768804877955
2015-05-08,-0.032445767808167186
2015-05-11,-0.00016600891865218952
2015-05-12,0.13056612314675592
2015-05-13,0.10502624778112457
2015-05-14,-0.024349746496072473
2015-05-15,0.0374819126003854
2015-05-18,0.04546657216615358
2015-05-19,-0.09274680101758043
2015-05-20,0.0832757809102242
2015-05-21,-0.03747124397389541
2015-05-22,-0.08413107686912054
2015-05-25,-0.02612368637835028
2015-05-26,-0.09096527791496391
2015-05-27,0.0035453722875767625
2015-05-28,0.002134312948507591
