,Inflation_Differential_ARSUSD Curncy
2003-07-22,2.414916666666666
2003-07-23,2.414916666666666
2003-07-24,2.414916666666666
2003-07-25,2.414916666666666
2003-07-28,2.414916666666666
2003-07-29,2.414916666666666
2003-07-30,2.414916666666666
2003-07-31,2.414916666666666
2003-08-01,2.414916666666666
2003-08-04,2.510333333333333
2003-08-05,2.510333333333333
2003-08-06,2.510333333333333
2003-08-07,2.510333333333333
2003-08-08,2.510333333333333
2003-08-11,2.510333333333333
2003-08-12,2.510333333333333
2003-08-13,2.510333333333333
2003-08-14,2.510333333333333
2003-08-15,2.510333333333333
2003-08-18,2.510333333333333
2003-08-19,2.510333333333333
2003-08-20,2.510333333333333
2003-08-21,2.510333333333333
2003-08-22,2.510333333333333
2003-08-25,2.510333333333333
2003-08-26,2.510333333333333
2003-08-27,2.510333333333333
2003-08-28,2.510333333333333
2003-08-29,2.510333333333333
2003-09-01,2.510333333333333
2003-09-02,2.6057499999999996
2003-09-03,2.6057499999999996
2003-09-04,2.6057499999999996
2003-09-05,2.6057499999999996
2003-09-08,2.6057499999999996
2003-09-09,2.6057499999999996
2003-09-10,2.6057499999999996
2003-09-11,2.6057499999999996
2003-09-12,2.6057499999999996
2003-09-15,2.6057499999999996
2003-09-16,2.6057499999999996
