,Spot_Incl_Signals
2014-12-30,118.15689396894625
2014-12-31,117.90161262331324
2015-01-01,117.9134889971745
2015-01-02,117.40168108385059
2015-01-05,117.13614420984653
2015-01-06,117.26051134196726
2015-01-07,117.23404023599716
2015-01-08,117.17443090830564
2015-01-09,117.26963709085231
2015-01-12,117.29818671546258
2015-01-13,117.33314064532586
2015-01-14,117.44469742758453
2015-01-15,117.30076727572845
2015-01-16,117.18080725444696
2015-01-19,117.12122891287234
2015-01-20,117.02647815836558
2015-01-21,117.07656129082275
2015-01-22,117.24970576817289
2015-01-23,117.0811958725265
2015-01-26,117.0392237885949
2015-01-27,117.0597335878071
2015-01-28,117.09871417137182
2015-01-29,116.8149279282603
2015-01-30,116.58014590125892
2015-02-02,116.54211737975085
2015-02-03,116.5356428176742
2015-02-04,116.5356428176742
2015-02-05,116.63692328484724
2015-02-06,116.48089042645996
2015-02-09,116.50543587114471
2015-02-10,116.37607388147045
2015-02-11,116.26352661498743
2015-02-12,116.27137189570433
2015-02-13,116.5482471578801
2015-02-16,116.45405639261521
2015-02-17,116.57329635912006
2015-02-18,116.66843516033573
2015-02-19,116.6563984841227
2015-02-20,116.7024250763304
2015-02-23,116.38435100782726
2015-02-24,116.49638005559933
2015-02-25,116.61078281552676
2015-02-26,116.69864021668916
2015-02-27,116.54935932607532
2015-03-02,116.45170437453659
2015-03-03,116.49159897011951
2015-03-04,116.43465906628596
2015-03-05,116.53064239833519
2015-03-06,116.47757676059399
2015-03-09,116.4868418829107
2015-03-10,116.31281660130747
2015-03-11,116.26968908911816
2015-03-12,116.33598006549772
2015-03-13,116.29177641802127
2015-03-16,116.2311036507087
2015-03-17,116.29527005179366
2015-03-18,116.33481015388713
2015-03-19,116.38503231500752
2015-03-20,116.43073023113918
2015-03-23,116.46888585132592
2015-03-24,116.72537367066346
2015-03-25,116.56759339231681
2015-03-26,116.32190534743218
2015-03-27,116.19122818037171
2015-03-30,115.96019855274139
2015-03-31,115.9309657487626
2015-04-01,116.2685743848341
2015-04-02,116.43897737076004
2015-04-03,116.62923245272212
2015-04-06,117.01971883402994
2015-04-07,116.77602688783588
2015-04-08,117.1128776752235
2015-04-09,117.25456726226352
2015-04-10,116.88556467967825
2015-04-13,116.77673557679942
2015-04-14,117.04596964000213
2015-04-15,117.23728137581779
2015-04-16,117.3353421968349
2015-04-17,116.91610934206822
2015-04-20,116.74025819845296
2015-04-21,116.8074190435906
2015-04-22,117.04521089275151
2015-04-23,117.25238772916775
2015-04-24,117.33612408410012
2015-04-27,117.33148543774936
2015-04-28,117.44132143771802
2015-04-29,117.398352631799
2015-04-30,117.18315733953395
2015-05-01,116.93303345903362
2015-05-04,116.72484085103815
2015-05-05,116.79852440632789
2015-05-06,116.76900079471253
2015-05-07,116.85559368874044
2015-05-08,116.76826248741979
2015-05-11,116.73686172127044
2015-05-12,116.99352383511409
2015-05-13,117.26188114067816
2015-05-14,117.22402986305299
2015-05-15,117.30608609352343
2015-05-18,117.39807515012888
2015-05-19,117.19552995743362
2015-05-20,117.24142430458349
2015-05-21,117.22163158435264
2015-05-22,117.13031426667393
2015-05-25,117.02525830773638
2015-05-26,116.84728677986811
2015-05-27,116.84030653204225
2015-05-28,116.81386419346687
2015-05-29,116.85720489487964
2015-06-01,116.86663073593567
2015-06-02,116.89430030691706
2015-06-03,116.84719777272888
2015-06-04,116.85903974747438
2015-06-05,116.91761583679299
2015-06-08,116.9535780095116
2015-06-09,116.91087046355152
2015-06-10,116.8113316067406
2015-06-11,116.72205502613113
2015-06-12,116.7660542457528
2015-06-15,116.8091425912604
2015-06-16,116.80401467871404
2015-06-17,116.86013437226103
2015-06-18,116.87773153425383
2015-06-19,116.7052671408149
2015-06-22,116.72083909302249
2015-06-23,116.53113875820087
2015-06-24,116.54111629067013
2015-06-25,116.52833722857847
2015-06-26,116.37171656949201
2015-06-29,116.18687275227019
2015-06-30,116.27285835776114
2015-07-01,116.18591185705166
2015-07-02,116.1897762936353
2015-07-03,116.10543054538304
2015-07-06,116.17548081776935
2015-07-07,116.18171180501261
2015-07-08,116.22524357082074
2015-07-09,116.1563409857202
2015-07-10,116.08078202304162
2015-07-13,116.08079807660508
2015-07-14,116.13592156768203
2015-07-15,116.10869529392335
2015-07-16,116.09133424075225
2015-07-17,116.01982959153312
2015-07-20,115.87536349666414
2015-07-21,115.87677005318689
2015-07-22,115.8076557101697
2015-07-23,115.81926402530803
2015-07-24,115.79266537904329
2015-07-27,115.78332511762373
2015-07-28,115.73854678869247
2015-07-29,115.72788030597911
2015-07-30,115.81242704644767
2015-07-31,115.77263670135846
2015-08-03,115.79200550955034
2015-08-04,115.74208178384873
2015-08-05,115.80819368358176
2015-08-06,115.74728438976194
2015-08-07,115.73982484236365
2015-08-10,115.73270394824232
2015-08-11,115.86616983837422
2015-08-12,115.81631387939699
2015-08-13,115.78764228179297
2015-08-14,115.81500613870558
2015-08-17,115.80265961604634
2015-08-18,115.82555999961224
2015-08-19,115.82386997954026
2015-08-20,115.8208167603501
